state_name,commodity_desc,total_prod
ALABAMA,CORN,410217102
ARIZONA,CORN,39253542
ARKANSAS,CORN,1164904278
CALIFORNIA,CORN,154029219
COLORADO,CORN,2116689162
CONNECTICUT,CORN,4403752
DELAWARE,CORN,339056149
FLORIDA,CORN,34454774
GEORGIA,CORN,503611701
HAWAII,CORN,2526699
IDAHO,CORN,277043506
ILLINOIS,CORN,23122991138
INDIANA,CORN,10124175214
IOWA,CORN,26571171761
KANSAS,CORN,7861698581
KENTUCKY,CORN,2307248179
LOUISIANA,CORN,885349041
MAINE,CORN,5946544
MARYLAND,CORN,718460147
MASSACHUSETTS,CORN,2149899
MICHIGAN,CORN,3397051983
MINNESOTA,CORN,15087177992
MISSISSIPPI,CORN,961783805
MISSOURI,CORN,5428348741
MONTANA,CORN,26380236
NEBRASKA,CORN,19920619783
NEVADA,CORN,5055325
NEW HAMPSHIRE,CORN,74514
NEW JERSEY,CORN,70482085
NEW MEXICO,CORN,37506283
NEW YORK,CORN,944622100
NORTH CAROLINA,CORN,1155490006
NORTH DAKOTA,CORN,4725975014
OHIO,CORN,5999107209
OKLAHOMA,CORN,423056443
OREGON,CORN,73697888
OTHER STATES,CORN,266515000
PENNSYLVANIA,CORN,1463924916
RHODE ISLAND,CORN,16160
SOUTH CAROLINA,CORN,443166307
SOUTH DAKOTA,CORN,8311591084
TENNESSEE,CORN,1271192753
TEXAS,CORN,3127319620
UTAH,CORN,33024927
VERMONT,CORN,5059224
VIRGINIA,CORN,532433049
WASHINGTON,CORN,224929182
WEST VIRGINIA,CORN,31081093
WISCONSIN,CORN,5389934334
WYOMING,CORN,60419628
